S/N,Category,Intent Type,Question/Article,Answer,1,Digital Club Free Trial,Unnamed: 2,Am I eligible for the 1 month free trial on FairPrice Digital Club?,"All FairPrice online customers who have not been a Digital Club member for the past 6 months are eligible for the 1st-month free trial. To check your eligibility, visit the sign-up page with your registered account.

Eligible customers will be able to see $0.00 on the payment page for their 1st month subscription. "
,,,Order cancellation policy for Business user?,"Cancellation request must be submitted to us at least 24 hours prior to the delivery date. Otherwise, there will be a $10 cancellation charge (incl. GST).
For bulk orders, cancellation after the order confirmation is subjected to a surcharge of $30 (incl. GST).
If you have applied promo code to the order, the promo code can be reused after the order is cancelled. Please apply it on a new order before the original expiry date.
Via app
Via desktopStep 1: Sign In to your account.
Step 2: Click ""Orders"" and choose your ""Ongoing"" orders
Step 3: Click ""Cancel order""
Step 4: ""Select a reason"" for cancellation and click ""Submit""
Step 5: Your order will be cancelled",,,,,
,,,I have Business account and like to cancel my order,"Cancellation request must be submitted to us at least 24 hours prior to the delivery date. Otherwise, there will be a $10 cancellation charge (incl. GST).
For bulk orders, cancellation after the order confirmation is subjected to a surcharge of $30 (incl. GST).
If you have applied promo code to the order, the promo code can be reused after the order is cancelled. Please apply it on a new order before the original expiry date.
Via app
Via desktopStep 1: Sign In to your account.
Step 2: Click ""Orders"" and choose your ""Ongoing"" orders
Step 3: Click ""Cancel order""
Step 4: ""Select a reason"" for cancellation and click ""Submit""
Step 5: Your order will be cancelled",,,,,
11,Ordering & Quotations,,"Can I register for a FairPrice for Business account using my personal email address?
","While you may register for a corporate account with any unique email address, we encourage you to use your company’s email address to receive order updates in your corporate inbox. ",,,,,
,,,Use of personal email address for Business account,"While you may register for a corporate account with any unique email address, we encourage you to use your company’s email address to receive order updates in your corporate inbox. ",,,,,
,,,Which email address should I use to register for Business Account?,"While you may register for a corporate account with any unique email address, we encourage you to use your company’s email address to receive order updates in your corporate inbox. ",,,,,
,,,Is my company email address compulsory for Business account?,"While you may register for a corporate account with any unique email address, we encourage you to use your company’s email address to receive order updates in your corporate inbox. ",,,,,
12,Payments,,What are the payment modes available to a Business User?,"The following payment modes are available for Business Users:
- Credit card
- Debit card
- Credit terms

These additional options below are for Government Ministries and Statutory Boards only:
- GEBiz
- E-Invoice (Please fill in the required fields for Ministry/Statutory Board, Department and Sub-Business Unit before making payment.)",,,,,
,,,How many ways a Business User can pay?,"The following payment modes are available for Business Users:
- Credit card
- Debit card
- Credit terms

These additional options below are for Government Ministries and Statutory Boards only:
- GEBiz
- E-Invoice (Please fill in the required fields for Ministry/Statutory Board, Department and Sub-Business Unit before making payment.)",,,,,
,,,available payment methods for Business User,"The following payment modes are available for Business Users:
- Credit card
- Debit card
- Credit terms

These additional options below are for Government Ministries and Statutory Boards only:
- GEBiz
- E-Invoice (Please fill in the required fields for Ministry/Statutory Board, Department and Sub-Business Unit before making payment.)",,,,,
,,,"I am a Business user, what are the payment options for me.","The following payment modes are available for Business Users:
- Credit card
- Debit card
- Credit terms

These additional options below are for Government Ministries and Statutory Boards only:
- GEBiz
- E-Invoice (Please fill in the required fields for Ministry/Statutory Board, Department and Sub-Business Unit before making payment.)",,,,,
13,Payments,,What is the Credit Term Application procedure for a Business User?,"Please fill in the following form to apply for credit terms:  ""FairPrice for Business - Credit Term Application"" 
https://formfacade.com/public/108045668090520052174/all/form/1FAIpQLSdS4aX-Nwnr4WxA-y02pYP0VmgwcV4oay-Ec98eJ-ctGJ4K8w

Kindly prepare the company's ACRA BizFile and the most recent two years of audited financial statement. The processing time may take up to 1 month.
The credit term we offer is 30 days and the credit limit is subjected to approval. ",,,,,
14,Payments,,Why have I not received the invoice for my order?,"Invoices will not be mailed to you. You may download the invoice from your account.
The invoice will be ready for viewing within 24 - 48 hours after your order has been delivered. You may refer to the steps below to view and download your invoices. 
Upon logging into your account, click into “Orders” under the “Account” tab

Your order history will be listed here

Click into the order you wish to view. Select “View Invoice” to view and download the invoice
",,,,,
,,,I didn't receive invoice for my order,"Invoices will not be mailed to you. You may download the invoice from your account.
The invoice will be ready for viewing within 24 - 48 hours after your order has been delivered. You may refer to the steps below to view and download your invoices. 
Upon logging into your account, click into “Orders” under the “Account” tab

Your order history will be listed here

Click into the order you wish to view. Select “View Invoice” to view and download the invoice
",,,,,
,,,where is invoice of my order,"Invoices will not be mailed to you. You may download the invoice from your account.
The invoice will be ready for viewing within 24 - 48 hours after your order has been delivered. You may refer to the steps below to view and download your invoices. 
Upon logging into your account, click into “Orders” under the “Account” tab

Your order history will be listed here

Click into the order you wish to view. Select “View Invoice” to view and download the invoice
",,,,,
,,,How to download invoice of my order,"Invoices will not be mailed to you. You may download the invoice from your account.
The invoice will be ready for viewing within 24 - 48 hours after your order has been delivered. You may refer to the steps below to view and download your invoices. 
Upon logging into your account, click into “Orders” under the “Account” tab

Your order history will be listed here

Click into the order you wish to view. Select “View Invoice” to view and download the invoice
",,,,,
15,Payments,,Can the invoice be emailed directly to our finance department?,"Invoices will not be sent via email. To get a copy of your invoice, please download it from your account.
The invoice will be ready for viewing 24 - 48 hours after the order is delivered. You may refer to this video guide on steps to view and download your invoice. 
",,,,,
,,,email the invoice to my finance department,"Invoices will not be sent via email. To get a copy of your invoice, please download it from your account.
The invoice will be ready for viewing 24 - 48 hours after the order is delivered. You may refer to this video guide on steps to view and download your invoice. 
",,,,,
,,,I need to show order invoice to finance department,"Invoices will not be sent via email. To get a copy of your invoice, please download it from your account.
The invoice will be ready for viewing 24 - 48 hours after the order is delivered. You may refer to this video guide on steps to view and download your invoice. 
",,,,,
,,,Our finance department likes to receive order invoice directly,"Invoices will not be sent via email. To get a copy of your invoice, please download it from your account.
The invoice will be ready for viewing 24 - 48 hours after the order is delivered. You may refer to this video guide on steps to view and download your invoice. 
",,,,,
16,Payments,,Why doesn't the invoice have my company's name?,"The invoice is auto-generated based on the information stated in the billing address during checkout. If your billing address is different from the delivery address, please select the correct billing address to be reflected in the invoice. 
Kindly ensure that your stated organisation is correct in your selected billing address as no amendments will be allowed. 

You may refer to this video guide below for the steps required to update your business information in your business profile and billing address. 
https://youtu.be/mLPLgNKoCh4",,,,,
,,,How to put my company name on invoice?,"The invoice is auto-generated based on the information stated in the billing address during checkout. If your billing address is different from the delivery address, please select the correct billing address to be reflected in the invoice. 
Kindly ensure that your stated organisation is correct in your selected billing address as no amendments will be allowed. 

You may refer to this video guide below for the steps required to update your business information in your business profile and billing address. 
https://youtu.be/mLPLgNKoCh4",,,,,
,,,can I have invoice with my company's name?,"The invoice is auto-generated based on the information stated in the billing address during checkout. If your billing address is different from the delivery address, please select the correct billing address to be reflected in the invoice. 
Kindly ensure that your stated organisation is correct in your selected billing address as no amendments will be allowed. 

You may refer to this video guide below for the steps required to update your business information in your business profile and billing address. 
https://youtu.be/mLPLgNKoCh4",,,,,
,,,change name on invoice with my company name,"The invoice is auto-generated based on the information stated in the billing address during checkout. If your billing address is different from the delivery address, please select the correct billing address to be reflected in the invoice. 
Kindly ensure that your stated organisation is correct in your selected billing address as no amendments will be allowed. 

You may refer to this video guide below for the steps required to update your business information in your business profile and billing address. 
https://youtu.be/mLPLgNKoCh4",,,,,
17,Payments,,Why can't I click 'Print Invoice' for my order?,"The invoice will be ready for viewing after the order is delivered. You will only be able to click 'Print Invoice' when the order is marked as 'Completed'. Please allow 12 - 48 hours after delivery for your order to be marked as 'Completed' in the system.  
To view/print the invoice, you may login at https://www.fairprice.com.sg/accounts and follow the steps below:
 

Step 1 : Log in to your account.
Step 2: Click 'Orders' > 'Past Orders'
Step 3 : Select the order, click 'View Invoice'
Step 4 : Right click and select 'Print'",,,,,
,,,when can I print invoice of my order?,"The invoice will be ready for viewing after the order is delivered. You will only be able to click 'Print Invoice' when the order is marked as 'Completed'. Please allow 12 - 48 hours after delivery for your order to be marked as 'Completed' in the system.  
To view/print the invoice, you may login at https://www.fairprice.com.sg/accounts and follow the steps below:
 

Step 1 : Log in to your account.
Step 2: Click 'Orders' > 'Past Orders'
Step 3 : Select the order, click 'View Invoice'
Step 4 : Right click and select 'Print'",,,,,
,,,when my order invoice be ready to be printed?,"The invoice will be ready for viewing after the order is delivered. You will only be able to click 'Print Invoice' when the order is marked as 'Completed'. Please allow 12 - 48 hours after delivery for your order to be marked as 'Completed' in the system.  
To view/print the invoice, you may login at https://www.fairprice.com.sg/accounts and follow the steps below:
 

Step 1 : Log in to your account.
Step 2: Click 'Orders' > 'Past Orders'
Step 3 : Select the order, click 'View Invoice'
Step 4 : Right click and select 'Print'",,,,,
,,,How can I print my order invoice?,"The invoice will be ready for viewing after the order is delivered. You will only be able to click 'Print Invoice' when the order is marked as 'Completed'. Please allow 12 - 48 hours after delivery for your order to be marked as 'Completed' in the system.  
To view/print the invoice, you may login at https://www.fairprice.com.sg/accounts and follow the steps below:
 

Step 1 : Log in to your account.
Step 2: Click 'Orders' > 'Past Orders'
Step 3 : Select the order, click 'View Invoice'
Step 4 : Right click and select 'Print'",,,,,
18,Payments,,"Where can I find the Credit Terms Application Form?
","Please fill-up and submit the application form below. 
https://formfacade.com/public/108045668090520052174/all/form/1FAIpQLSdS4aX-Nwnr4WxA-y02pYP0VmgwcV4oay-Ec98eJ-ctGJ4K8w
Kindly prepare your company's ACRA BizFile and the latest two years audited financial statement. The processing time may take up to 1 month and the credit limit is subjected to approval. 
A FairPrice representative will contact you regarding the application status or for more information if required.
",,,,,
,,,Credit Tems Application Form,"Please fill-up and submit the application form below. 
https://formfacade.com/public/108045668090520052174/all/form/1FAIpQLSdS4aX-Nwnr4WxA-y02pYP0VmgwcV4oay-Ec98eJ-ctGJ4K8w
Kindly prepare your company's ACRA BizFile and the latest two years audited financial statement. The processing time may take up to 1 month and the credit limit is subjected to approval. 
A FairPrice representative will contact you regarding the application status or for more information if required.
",,,,,
,,,Where can I fill Credit Tems Application ,"Please fill-up and submit the application form below. 
https://formfacade.com/public/108045668090520052174/all/form/1FAIpQLSdS4aX-Nwnr4WxA-y02pYP0VmgwcV4oay-Ec98eJ-ctGJ4K8w
Kindly prepare your company's ACRA BizFile and the latest two years audited financial statement. The processing time may take up to 1 month and the credit limit is subjected to approval. 
A FairPrice representative will contact you regarding the application status or for more information if required.
",,,,,
,,,Need help to submit Credit Tems Application,"Please fill-up and submit the application form below. 
https://formfacade.com/public/108045668090520052174/all/form/1FAIpQLSdS4aX-Nwnr4WxA-y02pYP0VmgwcV4oay-Ec98eJ-ctGJ4K8w
Kindly prepare your company's ACRA BizFile and the latest two years audited financial statement. The processing time may take up to 1 month and the credit limit is subjected to approval. 
A FairPrice representative will contact you regarding the application status or for more information if required.
",,,,,
19,Delivery,HTML Formatted,Multi-Tiered Delivery Fee Structure,"Dear Business Users

In these extraordinary circumstances, we continue to ramp up our operation capacity with enhanced safety measures to support your business needs. During the past two months, we have also intensified our efforts and made heavy investments to: 

Upgrade infrastructure to increase delivery slots by 25%
Hire and train additional 150 pickers and packers.
To better support your business needs and to ensure greater accessibility to all business users, we will introduce a multi-tiered delivery fee structure that includes both service and delivery fee that will take effect from 3 June 2020 onwards. This fee will partially cover the cost of processing, picking, packing and delivering of online grocery orders. We adopt a transparent pricing approach - there are no hidden mark-ups on products themselves as our online platform maintains uniform prices with our brick-and-mortar stores. 

New Multi-Tiered Delivery Fee Structure

In order to provide more flexibility for our business users to vary their basket sizes and optimise savings for their online purchases, the new multi-tiered delivery fee structure (incl. Service Fee) will be as follows:
Order value (SGD)       

Delivery charge (SGD)

$300 and above

Delivery charge waived

Between $59 to $300      

$3.99

Below $59

$8.99

 FAQs:

Will business users need to pay for service fee on top of the new multi-tiered delivery fee? 

For business users, the service fee is included in the new multi-tiered delivery fee structure. Hence, there is no additional service  fee on top of the delivery fee.

 
What is the difference between delivery fee and service fee (picking and packing)?

For Business users, service fee is included in the new multi-tiered delivery fee structure. However, for better understanding of both definitions:

Service Fee: To partially cover the costs of processing, picking and packing online grocery orders.

Delivery Fee: For the cost of transportation from the place where it was prepared to your doorstep.

 If I hit the minimum free delivery amount, do I still need to pay for service fee?

No, the service fee is included in the new multi-tiered delivery fee structure for business users. 

 
If I cancel my order, will you refund the delivery fee?

Cancellations made more than 24 hours prior to the scheduled delivery date will be refunded to the same mode of payment, at full amount including all applicable charges. Penalty fees apply for cancellations made in less than 24 hours. Read more here: https://help.fairprice.com.sg/hc/en-us/articles/360021859391-I-need-to-cancel-an-online-order-


What happens to the delivery fee when some items are not delivered due to out of stock  after I placed the order?

Any amendment in delivery date, time or item quantity will not affect the delivery fee. 

 
Why is there a need to introduce this multi-tiered delivery structure?

We introduce a multi-tiered delivery fee structure, to provide more flexibility for business users  to vary their basket sizes and optimise savings for their online purchases, making online groceries accessible to more businesses. ",,,,,
,,HTML Formatted,Fee Structure for Business User,"Dear Business Users

In these extraordinary circumstances, we continue to ramp up our operation capacity with enhanced safety measures to support your business needs. During the past two months, we have also intensified our efforts and made heavy investments to: 

Upgrade infrastructure to increase delivery slots by 25%
Hire and train additional 150 pickers and packers.
To better support your business needs and to ensure greater accessibility to all business users, we will introduce a multi-tiered delivery fee structure that includes both service and delivery fee that will take effect from 3 June 2020 onwards. This fee will partially cover the cost of processing, picking, packing and delivering of online grocery orders. We adopt a transparent pricing approach - there are no hidden mark-ups on products themselves as our online platform maintains uniform prices with our brick-and-mortar stores. 

New Multi-Tiered Delivery Fee Structure

In order to provide more flexibility for our business users to vary their basket sizes and optimise savings for their online purchases, the new multi-tiered delivery fee structure (incl. Service Fee) will be as follows:
Order value (SGD)       

Delivery charge (SGD)

$300 and above

Delivery charge waived

Between $59 to $300      

$3.99

Below $59

$8.99

 FAQs:

Will business users need to pay for service fee on top of the new multi-tiered delivery fee? 

For business users, the service fee is included in the new multi-tiered delivery fee structure. Hence, there is no additional service  fee on top of the delivery fee.

 
What is the difference between delivery fee and service fee (picking and packing)?

For Business users, service fee is included in the new multi-tiered delivery fee structure. However, for better understanding of both definitions:

Service Fee: To partially cover the costs of processing, picking and packing online grocery orders.

Delivery Fee: For the cost of transportation from the place where it was prepared to your doorstep.

 If I hit the minimum free delivery amount, do I still need to pay for service fee?

No, the service fee is included in the new multi-tiered delivery fee structure for business users. 

 
If I cancel my order, will you refund the delivery fee?

Cancellations made more than 24 hours prior to the scheduled delivery date will be refunded to the same mode of payment, at full amount including all applicable charges. Penalty fees apply for cancellations made in less than 24 hours. Read more here: https://help.fairprice.com.sg/hc/en-us/articles/360021859391-I-need-to-cancel-an-online-order-


What happens to the delivery fee when some items are not delivered due to out of stock  after I placed the order?

Any amendment in delivery date, time or item quantity will not affect the delivery fee. 

 
Why is there a need to introduce this multi-tiered delivery structure?

We introduce a multi-tiered delivery fee structure, to provide more flexibility for business users  to vary their basket sizes and optimise savings for their online purchases, making online groceries accessible to more businesses. ",,,,,
,,HTML Formatted,I am a Business user and have query related to delivery and service fee,"Dear Business Users

In these extraordinary circumstances, we continue to ramp up our operation capacity with enhanced safety measures to support your business needs. During the past two months, we have also intensified our efforts and made heavy investments to: 

Upgrade infrastructure to increase delivery slots by 25%
Hire and train additional 150 pickers and packers.
To better support your business needs and to ensure greater accessibility to all business users, we will introduce a multi-tiered delivery fee structure that includes both service and delivery fee that will take effect from 3 June 2020 onwards. This fee will partially cover the cost of processing, picking, packing and delivering of online grocery orders. We adopt a transparent pricing approach - there are no hidden mark-ups on products themselves as our online platform maintains uniform prices with our brick-and-mortar stores. 

New Multi-Tiered Delivery Fee Structure

In order to provide more flexibility for our business users to vary their basket sizes and optimise savings for their online purchases, the new multi-tiered delivery fee structure (incl. Service Fee) will be as follows:
Order value (SGD)       

Delivery charge (SGD)

$300 and above

Delivery charge waived

Between $59 to $300      

$3.99

Below $59

$8.99

 FAQs:

Will business users need to pay for service fee on top of the new multi-tiered delivery fee? 

For business users, the service fee is included in the new multi-tiered delivery fee structure. Hence, there is no additional service  fee on top of the delivery fee.

 
What is the difference between delivery fee and service fee (picking and packing)?

For Business users, service fee is included in the new multi-tiered delivery fee structure. However, for better understanding of both definitions:

Service Fee: To partially cover the costs of processing, picking and packing online grocery orders.

Delivery Fee: For the cost of transportation from the place where it was prepared to your doorstep.

 If I hit the minimum free delivery amount, do I still need to pay for service fee?

No, the service fee is included in the new multi-tiered delivery fee structure for business users. 

 
If I cancel my order, will you refund the delivery fee?

Cancellations made more than 24 hours prior to the scheduled delivery date will be refunded to the same mode of payment, at full amount including all applicable charges. Penalty fees apply for cancellations made in less than 24 hours. Read more here: https://help.fairprice.com.sg/hc/en-us/articles/360021859391-I-need-to-cancel-an-online-order-


What happens to the delivery fee when some items are not delivered due to out of stock  after I placed the order?

Any amendment in delivery date, time or item quantity will not affect the delivery fee. 

 
Why is there a need to introduce this multi-tiered delivery structure?

We introduce a multi-tiered delivery fee structure, to provide more flexibility for business users  to vary their basket sizes and optimise savings for their online purchases, making online groceries accessible to more businesses. ",,,,,
20,Delivery,,"How do I place an order in advance for my upcoming company event? 
","Our current delivery slots are open up to 7 days in advance. For event planning purposes, you may choose to place your orders up to 2 weeks in advance. 

For postponement requests, please follow the steps below to submit a ticket via the Help Centre after placing the order. Our support team will assist you further on this matter. 

Log into your account via Fairprice for Business
Click into “Help Centre” > “Manage orders and account”
Select “Grocery”
Please choose “Changes to Order” > “Change delivery date / time” 
Select the order number you’re enquiring about
Submit the form and our support team will reach out to you
",,,,,
,,,A company event is coming up and I like to order things in advance,"Our current delivery slots are open up to 7 days in advance. For event planning purposes, you may choose to place your orders up to 2 weeks in advance. 

For postponement requests, please follow the steps below to submit a ticket via the Help Centre after placing the order. Our support team will assist you further on this matter. 

Log into your account via Fairprice for Business
Click into “Help Centre” > “Manage orders and account”
Select “Grocery”
Please choose “Changes to Order” > “Change delivery date / time” 
Select the order number you’re enquiring about
Submit the form and our support team will reach out to you
",,,,,
,,,How long in advance I can place an order as Business User?,"Our current delivery slots are open up to 7 days in advance. For event planning purposes, you may choose to place your orders up to 2 weeks in advance. 

For postponement requests, please follow the steps below to submit a ticket via the Help Centre after placing the order. Our support team will assist you further on this matter. 

Log into your account via Fairprice for Business
Click into “Help Centre” > “Manage orders and account”
Select “Grocery”
Please choose “Changes to Order” > “Change delivery date / time” 
Select the order number you’re enquiring about
Submit the form and our support team will reach out to you
",,,,,
,,,I like to place an order beforehand for a company event,"Our current delivery slots are open up to 7 days in advance. For event planning purposes, you may choose to place your orders up to 2 weeks in advance. 

For postponement requests, please follow the steps below to submit a ticket via the Help Centre after placing the order. Our support team will assist you further on this matter. 

Log into your account via Fairprice for Business
Click into “Help Centre” > “Manage orders and account”
Select “Grocery”
Please choose “Changes to Order” > “Change delivery date / time” 
Select the order number you’re enquiring about
Submit the form and our support team will reach out to you
",,,,,
,,,"My company event is in few weeks, can I place order now?","Our current delivery slots are open up to 7 days in advance. For event planning purposes, you may choose to place your orders up to 2 weeks in advance. 

For postponement requests, please follow the steps below to submit a ticket via the Help Centre after placing the order. Our support team will assist you further on this matter. 

Log into your account via Fairprice for Business
Click into “Help Centre” > “Manage orders and account”
Select “Grocery”
Please choose “Changes to Order” > “Change delivery date / time” 
Select the order number you’re enquiring about
Submit the form and our support team will reach out to you
",,,,,
21,Delivery,,"Can I request specific packing or delivery instructions for my order? 
","Yes, you may request for packing and delivery instructions via our Customer Service Help Desk.
https://help.fairprice.com.sg/hc/en-us 

Please follow the steps below to raise a ticket: 

For packing instructions:

Select Manage orders and account > Grocery > Order management > Packing of products

For delivery Instructions:

Select Manage orders and account > Grocery > Delivery instructions ",,,,,
,,,Need to request different packing for my order,"Yes, you may request for packing and delivery instructions via our Customer Service Help Desk.
https://help.fairprice.com.sg/hc/en-us 

Please follow the steps below to raise a ticket: 

For packing instructions:

Select Manage orders and account > Grocery > Order management > Packing of products

For delivery Instructions:

Select Manage orders and account > Grocery > Delivery instructions ",,,,,
,,,I have special request for my order delivery,"Yes, you may request for packing and delivery instructions via our Customer Service Help Desk.
https://help.fairprice.com.sg/hc/en-us 

Please follow the steps below to raise a ticket: 

For packing instructions:

Select Manage orders and account > Grocery > Order management > Packing of products

For delivery Instructions:

Select Manage orders and account > Grocery > Delivery instructions ",,,,,
,,,can I make suggestions for my order packing or delivery?,"Yes, you may request for packing and delivery instructions via our Customer Service Help Desk.
https://help.fairprice.com.sg/hc/en-us 

Please follow the steps below to raise a ticket: 

For packing instructions:

Select Manage orders and account > Grocery > Order management > Packing of products

For delivery Instructions:

Select Manage orders and account > Grocery > Delivery instructions ",,,,,
,,,special instructions for my order packing or delivery,"Yes, you may request for packing and delivery instructions via our Customer Service Help Desk.
https://help.fairprice.com.sg/hc/en-us 

Please follow the steps below to raise a ticket: 

For packing instructions:

Select Manage orders and account > Grocery > Order management > Packing of products

For delivery Instructions:

Select Manage orders and account > Grocery > Delivery instructions ",,,,,
22,Delivery,,"I need the order urgently. Can I bring forward my delivery? 
","Customers are advised not to bring forward their delivery date to prevent any delivery disruptions and items dropping-off from the original order. In circumstances where the delivery date is brought forward urgently, we are unable to guarantee 100% order fulfilment. ",,,,,
,,,can you deliver my order before delivery date?,"Customers are advised not to bring forward their delivery date to prevent any delivery disruptions and items dropping-off from the original order. In circumstances where the delivery date is brought forward urgently, we are unable to guarantee 100% order fulfilment. ",,,,,
,,,Please deliver my order on urgent basis,"Customers are advised not to bring forward their delivery date to prevent any delivery disruptions and items dropping-off from the original order. In circumstances where the delivery date is brought forward urgently, we are unable to guarantee 100% order fulfilment. ",,,,,
,,,deliver my order as soon as possible,"Customers are advised not to bring forward their delivery date to prevent any delivery disruptions and items dropping-off from the original order. In circumstances where the delivery date is brought forward urgently, we are unable to guarantee 100% order fulfilment. ",,,,,
,,,My order delivery is in many days but i need that now,"Customers are advised not to bring forward their delivery date to prevent any delivery disruptions and items dropping-off from the original order. In circumstances where the delivery date is brought forward urgently, we are unable to guarantee 100% order fulfilment. ",,,,,
23,Delivery,,"Can I order online and do self collection?
",We currently do not offer self pick-up options for orders placed online. All online orders will be delivered to your selected address by our dedicated delivery team on your selected delivery day and time. ,,,,,
,,,Self pick up of my order,We currently do not offer self pick-up options for orders placed online. All online orders will be delivered to your selected address by our dedicated delivery team on your selected delivery day and time. ,,,,,
,,,Can I collect my online order instead of being delivered?,We currently do not offer self pick-up options for orders placed online. All online orders will be delivered to your selected address by our dedicated delivery team on your selected delivery day and time. ,,,,,
,,,Do you offer self pick-up option?,We currently do not offer self pick-up options for orders placed online. All online orders will be delivered to your selected address by our dedicated delivery team on your selected delivery day and time. ,,,,,
24,Returns & Exchanges,,How do I return or exchange items?,"For exchanges or refunds up to $200 paid by credit card, you may return the affected items at any FairPrice store (except FairPrice Shop, FairPrice Express and Cheers).

Returned items must be in original packaging with proof of purchase within 7 days of the date delivered.

For other exchanges or refunds, please contact us via this web form.
https://help.fairprice.com.sg/hc/en-us/requests/new",,,,,
,,,Can I exchange few items I ordered?,"For exchanges or refunds up to $200 paid by credit card, you may return the affected items at any FairPrice store (except FairPrice Shop, FairPrice Express and Cheers).

Returned items must be in original packaging with proof of purchase within 7 days of the date delivered.

For other exchanges or refunds, please contact us via this web form.
https://help.fairprice.com.sg/hc/en-us/requests/new",,,,,
,,,I like to return few items as I don't like them ,"For exchanges or refunds up to $200 paid by credit card, you may return the affected items at any FairPrice store (except FairPrice Shop, FairPrice Express and Cheers).

Returned items must be in original packaging with proof of purchase within 7 days of the date delivered.

For other exchanges or refunds, please contact us via this web form.
https://help.fairprice.com.sg/hc/en-us/requests/new",,,,,
,,,What's the policy regarding items exchange or return?,"For exchanges or refunds up to $200 paid by credit card, you may return the affected items at any FairPrice store (except FairPrice Shop, FairPrice Express and Cheers).

Returned items must be in original packaging with proof of purchase within 7 days of the date delivered.

For other exchanges or refunds, please contact us via this web form.
https://help.fairprice.com.sg/hc/en-us/requests/new",,,,,
25,Returns & Exchanges,,I have discovered missing/damaged items in my delivery order. What should I do?,"Our sincere apologies. Please report the issue within 7 days of delivery (3 days for fresh items) via the steps below to report your missing or damaged items. Our Customer Service Officers will respond within 48 hours.

Click here to proceed to the Order Management Form. If you are not signed in, you will first be redirected to log in. 




Submit and our Customer Service Officers will get back to you within 48 hours.",,,,,
26,Contact Details,,How do I contact FairPrice Business?,"Reach out to us via the web form below.
https://help.fairprice.com.sg/hc/en-us/requests/new",,,,,
,,,How can I reach out to FairPrice as Business User?,"Reach out to us via the web form below.
https://help.fairprice.com.sg/hc/en-us/requests/new",,,,,
,,,Contact details of FairPrice Business,"Reach out to us via the web form below.
https://help.fairprice.com.sg/hc/en-us/requests/new",,,,,
27,Terms & Conditions,,Terms and Conditions for Corporate Referral Program 11th March - 31st December 2022,"Terms and Conditions

For Existing Business Users:
Refer 3 New Business Users and get up to $36 promo codes
● Existing Users are required to inform us the contact details of 3 New Business Users via
email (db-online-b2b@ntucenterprise.sg) before we award the referral promo code
● Existing Users will receive 3X$12 promo codes via email for every successful referral
with a minimum spend of $180 for their next 3 orders on our Business Website
● This program is only applicable to FairPrice Online B2B Customers
● Shop now for the best deals on bulk purchases - https://www.fairprice.com.sg/business


For New Business Users:
● New Users are required to create a Corporate Account on our website
● New Users will receive 3X$12 promo codes via email with a minimum spend of $180 for
their first 3 successful orders on our Business Website
● This program is only applicable to new FairPrice Online B2B Customers
● Shop now for the best deals on bulk purchases - https://www.fairprice.com.sg/business",,,,,
